"CustomerID","month","week","Client"
12346,"Jan",3,"New"
12347,"Jan",4,"New"
12347,"Apr",14,"New"
12347,"Jun",23,"New"
12347,"Aug",31,"New"
12347,"Oct",44,"New"
12347,"Dec",49,"Recurrent"
12348,"Jan",4,"New"
12348,"Apr",14,"New"
12348,"Sep",39,"New"
12348,"Dec",50,"New"
12349,"Nov",47,"New"
12350,"Feb",5,"New"
12352,"Feb",7,"New"
12352,"Mar",9,"Recurrent"
12352,"Mar",11,"New"
12352,"Mar",12,"New"
12352,"Sep",38,"New"
12352,"Sep",39,"New"
12352,"Nov",44,"New"
12353,"May",20,"New"
12354,"Apr",16,"New"
12355,"May",19,"New"
12356,"Jan",3,"New"
12356,"Apr",14,"New"
12356,"Nov",46,"New"
12357,"Nov",45,"New"
12358,"Jul",28,"New"
12358,"Dec",49,"New"
12359,"Jan",2,"New"
12359,"Feb",6,"New"
12359,"Jun",22,"New"
12359,"Oct",41,"New"
12360,"May",21,"New"
12360,"Aug",33,"New"
12360,"Oct",42,"New"
12361,"Feb",8,"New"
12362,"Feb",7,"New"
12362,"Apr",17,"New"
12362,"Jul",27,"New"
12362,"Aug",32,"New"
12362,"Sep",39,"New"
12362,"Oct",41,"New"
12362,"Oct",43,"Recurrent"
12362,"Nov",44,"New"
12362,"Dec",49,"New"
12363,"Apr",15,"New"
12363,"Aug",34,"New"
12364,"Aug",33,"New"
12364,"Sep",38,"New"
12364,"Oct",44,"New"
12364,"Dec",48,"New"
12365,"Feb",8,"Recurrent"
12367,"Dec",49,"New"
12370,"Mar",10,"New"
12370,"Oct",42,"New"
12370,"Dec",50,"New"
12370,"Dec",51,"New"
12371,"Oct",41,"New"
12371,"Oct",43,"New"
12372,"Feb",7,"New"
12372,"May",19,"New"
12372,"Sep",39,"New"
12373,"Feb",5,"New"
12374,"Nov",46,"New"
12375,"Sep",35,"New"
12375,"Nov",48,"New"
12377,"Jan",4,"New"
12377,"Dec",51,"New"
12378,"Aug",31,"New"
12379,"Jun",25,"New"
12379,"Sep",38,"New"
12380,"Jun",23,"New"
12380,"Sep",38,"New"
12380,"Oct",41,"New"
12380,"Nov",46,"New"
12381,"Aug",32,"New"
12381,"Oct",41,"Recurrent"
12381,"Nov",45,"New"
12381,"Dec",49,"New"
12383,"Jan",2,"New"
12383,"Mar",11,"New"
12383,"Apr",15,"New"
12383,"Jun",23,"New"
12383,"Dec",51,"New"
12384,"Aug",32,"New"
12384,"Nov",45,"New"
12386,"Jan",1,"New"
12386,"Dec",49,"New"
12388,"Jan",3,"New"
12388,"Feb",6,"New"
12388,"Mar",10,"New"
12388,"Jul",28,"New"
12388,"Sep",39,"New"
12388,"Nov",47,"New"
12390,"Sep",38,"New"
12391,"Nov",46,"New"
12393,"Jan",2,"Recurrent"
12393,"Apr",14,"New"
12393,"Sep",39,"New"
12394,"May",18,"New"
12394,"Oct",40,"New"
12395,"Feb",6,"New"
12395,"Mar",12,"New"
12395,"May",18,"New"
12395,"May",19,"New"
12395,"Jun",26,"New"
12395,"Aug",33,"New"
12395,"Oct",40,"New"
12395,"Nov",45,"Recurrent"
12395,"Nov",47,"New"
12395,"Dec",49,"New"
12395,"Dec",51,"New"
12397,"Jul",30,"New"
12397,"Nov",44,"New"
12398,"Oct",43,"New"
12399,"Mar",12,"New"
12399,"May",19,"New"
12399,"Jun",23,"New"
12399,"Aug",32,"New"
12401,"Feb",6,"New"
12402,"Jan",3,"New"
12403,"Oct",42,"New"
12405,"Jul",28,"New"
12406,"Jun",23,"New"
12406,"Nov",46,"New"
12407,"Mar",12,"New"
12407,"Apr",16,"New"
12407,"Jul",27,"New"
12407,"Jul",30,"New"
12407,"Oct",42,"New"
12408,"Mar",12,"Recurrent"
12408,"Jun",24,"New"
12408,"Sep",35,"New"
12408,"Nov",45,"New"
12409,"Jun",23,"New"
12409,"Sep",38,"Recurrent"
12410,"Feb",5,"Recurrent"
12412,"Jun",25,"New"
12412,"Jul",30,"New"
12412,"Sep",39,"New"
12413,"Jan",1,"New"
12413,"Apr",16,"New"
12413,"Oct",40,"New"
12414,"Feb",5,"New"
12414,"Apr",17,"New"
12414,"May",18,"New"
12415,"Jan",1,"New"
12415,"Jan",2,"New"
12415,"Feb",7,"New"
12415,"Mar",9,"New"
12415,"Apr",13,"New"
12415,"May",20,"Recurrent"
12415,"Jun",24,"Recurrent"
12415,"Jul",28,"Recurrent"
12415,"Jul",29,"New"
12415,"Aug",33,"New"
12415,"Sep",35,"Recurrent"
12415,"Oct",40,"Recurrent"
12415,"Nov",44,"Recurrent"
12415,"Nov",46,"Recurrent"
12417,"Jan",4,"New"
12417,"Mar",9,"New"
12417,"Apr",17,"New"
12417,"Jun",23,"New"
12417,"Aug",31,"New"
12417,"Aug",34,"New"
12417,"Oct",44,"New"
12417,"Dec",49,"New"
12417,"Dec",51,"New"
12418,"Aug",33,"New"
12420,"Oct",40,"New"
12421,"Jan",4,"New"
12421,"Jun",25,"New"
12421,"Aug",33,"New"
12421,"Nov",47,"New"
12422,"Jan",3,"New"
12422,"Jun",25,"New"
12422,"Sep",36,"New"
12423,"Feb",8,"New"
12423,"Mar",12,"New"
12423,"Apr",14,"New"
12423,"May",21,"New"
12423,"Jun",22,"New"
12423,"Aug",35,"New"
12423,"Dec",49,"New"
12423,"Dec",51,"New"
12424,"Jun",26,"Recurrent"
12425,"Sep",38,"New"
12426,"May",22,"New"
12427,"Oct",41,"New"
12427,"Nov",46,"New"
12427,"Dec",49,"New"
12428,"Mar",9,"Recurrent"
12428,"Mar",12,"New"
12428,"Mar",13,"New"
12428,"Apr",15,"New"
12428,"Jul",27,"New"
12428,"Aug",32,"New"
12428,"Nov",46,"New"
12429,"Apr",17,"New"
12429,"Jun",25,"New"
12429,"Nov",48,"New"
12429,"Dec",49,"New"
12430,"Oct",43,"New"
12431,"Jan",4,"New"
12431,"Feb",7,"New"
12431,"Feb",9,"New"
12431,"May",19,"New"
12431,"May",21,"New"
12431,"Jul",29,"New"
12431,"Jul",30,"Recurrent"
12431,"Aug",32,"New"
12431,"Oct",40,"Recurrent"
12431,"Oct",41,"New"
12431,"Nov",44,"New"
12431,"Dec",48,"New"
12431,"Dec",51,"New"
12432,"Jun",25,"Recurrent"
12432,"Oct",43,"Recurrent"
12433,"Sep",36,"New"
12433,"Oct",43,"New"
12433,"Nov",48,"New"
12433,"Dec",48,"New"
12433,"Dec",49,"Recurrent"
12434,"Mar",12,"New"
12434,"Sep",37,"New"
12435,"Mar",11,"New"
12435,"Sep",38,"New"
12436,"Sep",35,"New"
12437,"Jan",2,"New"
12437,"Feb",5,"New"
12437,"Feb",8,"Recurrent"
12437,"Mar",11,"New"
12437,"Apr",17,"New"
12437,"May",20,"New"
12437,"May",21,"New"
12437,"Jun",24,"New"
12437,"Sep",35,"Recurrent"
12437,"Sep",38,"New"
12437,"Oct",43,"New"
12437,"Nov",44,"Recurrent"
12437,"Nov",46,"New"
12437,"Nov",48,"New"
12437,"Dec",49,"New"
12438,"Jul",29,"New"
12438,"Nov",47,"New"
12441,"Dec",49,"New"
12442,"Dec",49,"New"
12444,"Jun",25,"New"
12444,"Aug",32,"New"
12444,"Sep",37,"New"
12444,"Oct",41,"New"
12444,"Nov",46,"New"
12445,"Nov",46,"New"
12446,"Oct",41,"New"
12447,"Apr",15,"New"
12448,"Oct",43,"New"
12449,"Jun",23,"New"
12449,"Aug",31,"New"
12449,"Sep",36,"New"
12449,"Nov",46,"New"
12450,"Jun",25,"New"
12450,"Jul",27,"New"
12451,"Jan",3,"New"
12451,"May",18,"New"
12451,"Oct",40,"New"
12451,"Nov",46,"New"
12451,"Nov",48,"New"
12452,"Nov",47,"Recurrent"
12453,"Jul",30,"New"
12454,"Oct",41,"New"
12455,"Feb",7,"Recurrent"
12455,"Jun",22,"New"
12455,"Jul",27,"New"
12455,"Aug",31,"New"
12455,"Sep",39,"New"
12456,"Mar",13,"New"
12456,"Jul",31,"New"
12456,"Oct",43,"New"
12457,"Apr",15,"Recurrent"
12457,"Apr",16,"New"
12457,"Sep",37,"Recurrent"
12457,"Sep",38,"New"
12457,"Oct",40,"New"
12458,"Feb",9,"New"
12458,"Sep",39,"New"
12461,"Jul",27,"New"
12461,"Sep",36,"New"
12462,"Feb",6,"New"
12462,"Nov",47,"New"
12463,"Apr",15,"New"
12463,"May",20,"New"
12463,"Jun",24,"New"
12463,"Oct",42,"New"
12464,"Feb",5,"New"
12464,"Feb",9,"New"
12464,"May",21,"Recurrent"
12464,"Jul",28,"New"
12464,"Aug",34,"New"
12464,"Nov",46,"New"
12464,"Nov",48,"New"
12465,"Jun",25,"New"
12465,"Nov",47,"New"
12468,"Jan",4,"New"
12468,"Jun",23,"New"
12471,"Jan",2,"New"
